,prefecture,year,night_light
189,新潟県,2019,7.854999542236328
190,新潟県,2020,8.024999618530273
191,新潟県,2021,17.764999389648438
192,新潟県,2022,8.949999809265137
193,新潟県,2023,9.364999771118164
194,新潟県,2024,0
197,富山県,2014,2.9722437858581543
198,富山県,2015,3.7447972297668457
199,富山県,2016,3.1593256
200,富山県,2017,2.4910025596618652
201,富山県,2018,3.0850000381469727
202,富山県,2019,3.059999942779541
203,富山県,2020,2.4049999713897705
204,富山県,2021,3.4700000286102295
205,富山県,2022,2.9099998474121094
206,富山県,2023,3.0900001525878906
207,富山県,2024,2.990000009536743
210,石川県,2014,1.2286543625523094
211,石川県,2015,1.1597637336740227
212,石川県,2016,1.7465034043528196
213,石川県,2017,1.9612283145352147
214,石川県,2018,1.7119729129324184
215,石川県,2019,1.6300123326547227
216,石川県,2020,1.0976131447285853
217,石川県,2021,1.208175300775774
218,石川県,2022,1.1984995720495282
219,石川県,2023,1.1883668306541109
220,石川県,2024,0.9064846338084744
223,福井県,2014,0.5258541703224182
224,福井県,2015,0.5917479395866394
225,福井県,2016,0.508716881
226,福井県,2017,0.5761713981628418
227,福井県,2018,0.5899999737739563
228,福井県,2019,0.5349999666213989
229,福井県,2020,0.6649999618530273
230,福井県,2021,0.6499999761581421
231,福井県,2022,0.6299999952316284
232,福井県,2023,0.8600000143051147
233,福井県,2024,0.4699999988079071
236,山梨県,2014,3.2897922000147823
237,山梨県,2015,3.2849898955907606
238,山梨県,2016,3.1858342237681945
239,山梨県,2017,3.6255963004073055
240,山梨県,2018,3.441070669
241,山梨県,2019,3.554874870964107
242,山梨県,2020,3.3781208822384814
243,山梨県,2021,3.721446030454508
244,山梨県,2022,3.7720883345850282
245,山梨県,2023,3.9147032945489895
246,山梨県,2024,4.392688775918041
249,長野県,2014,1.5188937072741626
250,長野県,2015,1.478607491914543
251,長野県,2016,1.4214076911000961
252,長野県,2017,1.6539220286040073
253,長野県,2018,1.6207818492025134
254,長野県,2019,1.5780069214694574
255,長野県,2020,1.4963730273216567
256,長野県,2021,1.6323736455414763
257,長野県,2022,1.6917554819940386
258,長野県,2023,1.7318392982715316
259,長野県,2024,3.027324633980769
262,岐阜県,2014,6.965715822009506
263,岐阜県,2015,7.067531187900412
264,岐阜県,2016,6.788507576
265,岐阜県,2017,7.106654586714467
266,岐阜県,2018,7.069586525902218
267,岐阜県,2019,7.004361151060009
268,岐阜県,2020,6.875253122768555
269,岐阜県,2021,7.106673661091343
270,岐阜県,2022,7.264792476512282
271,岐阜県,2023,7.059800705
272,岐阜県,2024,7.117373165
275,静岡県,2014,0.8068926191870224
276,静岡県,2015,0.7828816828793574
277,静岡県,2016,0.7320881716470136
278,静岡県,2017,0.9567099950295835
279,静岡県,2018,0.9306933768586635
280,静岡県,2019,0.9370112139811427
281,静岡県,2020,0.9778241378379732
282,静岡県,2021,1.0016631124858106
283,静岡県,2022,1.0161792341301543
284,静岡県,2023,1.0416685256016205
285,静岡県,2024,1.0938702734897594
288,愛知県,2014,41.30511064024313
289,愛知県,2015,40.69683684294691
290,愛知県,2016,39.79448226188865
291,愛知県,2017,42.08814059524238
292,愛知県,2018,41.45663719
293,愛知県,2019,40.89361098481731
294,愛知県,2020,40.844286934473914
295,愛知県,2021,40.90064090151329
296,愛知県,2022,41.639103297717774
297,愛知県,2023,42.086739598703645
298,愛知県,2024,43.59621547004753
301,三重県,2014,3.460568184400126
302,三重県,2015,3.556046807852974
303,三重県,2016,3.898607090441849
304,三重県,2017,4.339675275078655
305,三重県,2018,4.181642133824146
306,三重県,2019,4.661605821038684
307,三重県,2020,4.736605778227756
308,三重県,2021,5.412846888938958
309,三重県,2022,5.0884123614234635
310,三重県,2023,5.390584181695088
311,三重県,2024,5.718978033448657
314,滋賀県,2014,2.4587301634249616
315,滋賀県,2015,2.4088627295604805
316,滋賀県,2016,2.4666224781243606
317,滋賀県,2017,2.688587630990187
318,滋賀県,2018,2.713716637457938
319,滋賀県,2019,2.741805633184049
320,滋賀県,2020,2.6894522176200386
321,滋賀県,2021,2.745115724422782
322,滋賀県,2022,2.8218460909458813
323,滋賀県,2023,2.876924134518692
324,滋賀県,2024,2.881306216285685
327,京都府,2014,2.6235567587510795
328,京都府,2015,2.4865949084248022
329,京都府,2016,2.6534251392877866
330,京都府,2017,2.806614893899045
331,京都府,2018,2.912614286574262
332,京都府,2019,2.829893030181703
333,京都府,2020,2.782007065853726
334,京都府,2021,2.870877150735744
335,京都府,2022,2.9869080630556124
336,京都府,2023,3.015478191152772
337,京都府,2024,3.0443625659139166
340,大阪府,2014,54.971267779157195
341,大阪府,2015,56.63593253422162
342,大阪府,2016,54.135477971366754
343,大阪府,2017,58.42256427463668
344,大阪府,2018,58.258785974487395
345,大阪府,2019,56.65574323913556
